 time            v(vo)          
 7.00004212e-06  8.96741094e-01 
 7.00006999e-06  8.96747785e-01 
 7.00009977e-06  8.96758359e-01 
 7.00013673e-06  8.96772224e-01 
 7.00019438e-06  8.96789164e-01 
 7.00026170e-06  8.96804819e-01 
 7.00039632e-06  8.96829691e-01 
 7.00059401e-06  8.96856050e-01 
 7.00087542e-06  8.96869484e-01 
 7.00135581e-06  8.96879805e-01 
 7.00224073e-06  8.96895615e-01 
 7.00401058e-06  8.96932378e-01 
 7.00755026e-06  8.96988496e-01 
 7.01395210e-06  9.01023811e-01 
 7.02127691e-06  9.10571047e-01 
 7.02845985e-06  9.16886370e-01 
 7.03747238e-06  9.18992803e-01 
 7.04917629e-06  9.19654760e-01 
 7.07114733e-06  9.20535686e-01 
 7.11508940e-06  9.22316156e-01 
 7.20297354e-06  9.25854442e-01 
 7.37874182e-06  9.32887523e-01 
 7.50001000e-06  9.37697633e-01 
 7.50001100e-06  9.37697469e-01 
 7.50001300e-06  9.37696998e-01 
 7.50001700e-06  9.37695627e-01 
 7.50002000e-06  9.37694534e-01 
 7.50002080e-06  9.37694489e-01 
 7.50002240e-06  9.37694584e-01 
 7.50002560e-06  9.37695498e-01 
 7.50003200e-06  9.37698248e-01 
 7.50004480e-06  9.37702842e-01 
 7.50007040e-06  9.37707561e-01 
 7.50011737e-06  9.37711182e-01 
 7.50021130e-06  9.37681676e-01 
 7.50035521e-06  9.37486376e-01 
 7.50045883e-06  9.37335636e-01 
 7.50056961e-06  9.37312246e-01 
 7.50074047e-06  9.37325448e-01 
 7.50090431e-06  9.37317923e-01 
 7.50118933e-06  9.37324797e-01 
 7.50152648e-06  9.37319937e-01 
 7.50201319e-06  9.37324453e-01 
 7.50279711e-06  9.37320425e-01 
 7.50404184e-06  9.37324223e-01 
 7.50632137e-06  9.37320549e-01 
 7.51022124e-06  9.37324150e-01 
 7.51701560e-06  9.37320587e-01 
 7.52905039e-06  9.37324125e-01 
 7.55311996e-06  9.37320596e-01 
 7.60125912e-06  9.37324112e-01 
 7.69753742e-06  9.37320587e-01 
 7.89009404e-06  9.37324087e-01 
 8.00000000e-06  9.37320562e-01 
 8.00000100e-06  9.37320963e-01 
 8.00000300e-06  9.37321661e-01 
 8.00000700e-06  9.37321776e-01 
 8.00001000e-06  9.37320682e-01 
 8.00001051e-06  9.37320369e-01 
 8.00001153e-06  9.37319694e-01 
 8.00001357e-06  9.37318249e-01 
 8.00001765e-06  9.37315818e-01 
 8.00002581e-06  9.37313588e-01 
 8.00004212e-06  9.37314833e-01 
 8.00006999e-06  9.37321494e-01 
 8.00009977e-06  9.37332030e-01 
 8.00013673e-06  9.37345844e-01 
 8.00019438e-06  9.37362721e-01 
 8.00026170e-06  9.37378320e-01 
 8.00039635e-06  9.37403103e-01 
 8.00059393e-06  9.37429341e-01 
 8.00087529e-06  9.37442701e-01 
 8.00135541e-06  9.37453002e-01 
 8.00224110e-06  9.37468895e-01 
 8.00401249e-06  9.37505742e-01 
 8.00755527e-06  9.37559726e-01 
 8.01396850e-06  9.40480094e-01 
 8.02126632e-06  9.48605577e-01 
 8.02845395e-06  9.55221270e-01 
 8.03747436e-06  9.58063261e-01 
 8.04919362e-06  9.59028470e-01 
 8.07117878e-06  9.59905904e-01 
 8.11514910e-06  9.61582150e-01 
 8.20308975e-06  9.64943743e-01 
 8.37897104e-06  9.71588461e-01 
 8.50001000e-06  9.76123401e-01 
 8.50001100e-06  9.76123235e-01 
